Name,Car_Type,Drive_Wheels_Available,Seating,Engine_liter,HP,Length_in,Width_in,Height_in,Wheelbase_in,Weight_lbs,Cargo_Volume_cuft,Overall_MPG,Lowest_MSRP,Parent_Company_HQ,Manufacturer_Type
Toyota Highlander,SUV,"Front, AWD",8,2.5,240,193,76,68,110,4134,13.6,22,32000,Japan,Foreign
Toyota RAV4,SUV,"Front, AWD",5,2.5,203,181,73,67,106,3510,30.5,30,25650,Japan,Foreign
Toyota Sequoia,SUV,"Rear, AWD",8,5.7,381,205,80,75,122,6025,61,15,49050,Japan,Foreign
Toyota Sienna,Minivan,"Front, AWD",8,3.5,296,201,78,71,119,4550,70.5,21,31415,Japan,Foreign
Toyota Supra,Hatchback,Rear,2,3,335,173,73,51,97,3400,10,26,49990,Japan,Foreign
Toyota Yaris,Sedan,Front,5,1.5,106,172,67,59,101,2420,13,35,15600,Japan,Foreign
Volkswagen Arteon,Hatchback,"Front, AWD",5,2,268,191,74,57,112,3850,27,23,35845,Germany,Foreign
Volkswagen Atlas,SUV,"Front, AWD",7,2,235,198,78,70,117,4670,50.5,20,30895,Germany,Foreign
Volkswagen Golf,Hatchback,"Front, AWD",5,NA,134,168,71,57,104,3459,24,125,31895,Germany,Foreign
Volkswagen Golf Alltrack,Wagon,AWD,5,1.8,168,180,71,60,104,3465,30.5,25,26895,Germany,Foreign
Volkswagen GT1,Hatchback,Front,5,2,228,166,70,58,102,3155,24,29,27595,Germany,Foreign
Volkswagen Jetta,Sedan,Front,5,1.4,147,185,71,57,106,3065,16,34,18745,Germany,Foreign
Volkswagen Passat,Sedan,Front,5,2,174,192,72,59,110,3320,16,28,25295,Germany,Foreign
Volkswagen Tiguan,SUV,"Front, AWD",7,2,184,185,72,66,110,3860,33,25,24295,Germany,Foreign
Volvo S60,Sedan,"Front, AWD",5,2,250,187,80,57,113,3740,12,26,35800,China,Foreign
Volvo S90,Sedan,"Front, AWD",5,2,250,195,74,57,116,4085,14,23,47350,China,Foreign
Volvo XC40,SUV,"Front, AWD",5,2,187,174,73,65,106,3785,25.5,24,33700,China,Foreign
Volvo XC60,SUV,"Front, AWD",5,2,250,185,79,65,113,4150,34,23,39800,China,Foreign
Volvo XC90,SUV,"Front, AWD",7,2,250,195,84,70,118,4595,35,20,47700,China,Foreign
