x,f(x),evenly_spaced_n10,evenly_spaced_n10_absolute_error,chebyshev_n10,chebyshev_n10_absolute_error,evenly_spaced_n20,evenly_spaced_n20_absolute_error,chebyshev_n20,chebyshev_n20_absolute_error
-6.400000000000000133e-01,1.896480879304951461e+00,1.940633315596620667e+00,4.415243629166920591e-02,1.877903801013545593e+00,1.857707829140586853e-02,1.735606747856277332e+00,1.608741314486741292e-01,1.891563641331353463e+00,4.917237973597998746e-03
-6.300000000000000044e-01,1.877610579264343160e+00,1.910009163006858746e+00,3.239858374251558537e-02,1.859552407487729431e+00,1.805817177661372952e-02,1.756790743315425729e+00,1.208198359489174312e-01,1.872159440726653967e+00,5.451138537689192987e-03
-6.199999999999999956e-01,1.858928041846342083e+00,1.879911105770588176e+00,2.098306392424609257e-02,1.841760233288407322e+00,1.716780855793476057e-02,1.781180094038604445e+00,7.774794780773763847e-02,1.853331684394091239e+00,5.596357452250844133e-03
-6.099999999999999867e-01,1.840431398781637418e+00,1.850553808316763860e+00,1.012240953512644204e-02,1.824507680807257781e+00,1.592371797437963643e-02,1.804114222205358553e+00,3.631717657627886453e-02,1.835088764930299821e+00,5.342633851337597051e-03
-5.999999999999999778e-01,1.822118800390508886e+00,1.822118800390508886e+00,0.000000000000000000e+00,1.807769609065321026e+00,1.434919132518786000e-02,1.822118800390508886e+00,0.000000000000000000e+00,1.817411880337330699e+00,4.706920053178187402e-03
-5.899999999999999689e-01,1.803988415397856926e+00,1.794754976186032192e+00,9.233439211824734372e-03,1.791515917233106325e+00,1.247249816475060058e-02,1.832926511832354333e+00,2.893809643449740676e-02,1.800257163910416569e+00,3.731251487440356840e-03
-5.800000000000000711e-01,1.786038430750073402e+00,1.768579503100620176e+00,1.745892764945322639e-02,1.775712156008839582e+00,1.032627474123382072e-02,1.835398106914782668e+00,4.935967616470926522e-02,1.783559234778353764e+00,2.479195971719638791e-03
-5.700000000000000622e-01,1.768267051433735304e+00,1.743679080379080926e+00,2.458797105465437838e-02,1.760320157932511398e+00,7.946893501223906142e-03,1.829372818122682487e+00,6.110576668894718289e-02,1.767235858507625323e+00,1.031192926109980590e-03
-5.600000000000000533e-01,1.750672500296101219e+00,1.720111492143802989e+00,3.056100815229823020e-02,1.745298678446462137e+00,5.373821849639082160e-03,1.815475208269125673e+00,6.480270797302445374e-02,1.751193374596191843e+00,5.208743000906235210e-04
-5.500000000000000444e-01,1.733253017867395274e+00,1.697907403369512069e+00,3.534561449788320431e-02,1.730604040216997541e+00,2.648977650397732475e-03,1.794902274441962708e+00,6.164925657456743480e-02,1.735332536157127237e+00,2.079518289731963065e-03
-5.400000000000000355e-01,1.716006862184858539e+00,1.677072351266452266e+00,3.893451091840627321e-02,1.716190773906562494e+00,1.839117217039554220e-04,1.769210614642348744e+00,5.320375245749020543e-02,1.719554414595469316e+00,3.547552410610776974e-03
-5.300000000000000266e-01,1.698932308618550602e+00,1.657588888283939133e+00,4.134342033461146926e-02,1.702012249232687235e+00,3.079940614136633670e-03,1.740119104941879602e+00,4.118679632332900020e-02,1.703766046019610458e+00,4.833737401059856609e-03
-5.200000000000000178e-01,1.682027649698886407e+00,1.639418836540653457e+00,4.260881315823294990e-02,1.688021290768808580e+00,5.993641069922173159e-03,1.709338169020321319e+00,2.731051932143491179e-02,1.687885533534531302e+00,5.857883835644894788e-03
-5.100000000000000089e-01,1.665291194945886399e+00,1.622505616931449124e+00,4.278557801443727548e-02,1.674170773533704581e+00,8.879578587818182100e-03,1.678432606926375747e+00,1.314141198048934811e-02,1.671846367273103429e+00,6.555172327217029249e-03
-5.000000000000000000e-01,1.648721270700128194e+00,1.606776619455508204e+00,4.194465124461999039e-02,1.660414193980984443e+00,1.169292328085624888e-02,1.648721270700128194e+00,0.000000000000000000e+00,1.655600778822994279e+00,6.879508122866084818e-03
-4.899999999999999911e-01,1.632316219955378900e+00,1.592145584460166186e+00,4.017063549521271426e-02,1.646706212538588066e+00,1.438999258320916574e-02,1.621213751032241079e+00,1.110246892313782041e-02,1.639122005476098209e+00,6.805785520719309645e-03
-4.799999999999999822e-01,1.616074402192893444e+00,1.578514967501323252e+00,3.755943469157019265e-02,1.633003164360819603e+00,1.692876216792615907e-02,1.596581735339550168e+00,1.949266685334327676e-02,1.622405399534997184e+00,6.330997342103739101e-03
-4.699999999999999734e-01,1.599994193217360250e+00,1.565778263387816116e+00,3.421592982954413387e-02,1.619263535442696300e+00,1.926934222533605023e-02,1.575160830797396327e+00,2.483336241996392246e-02,1.605468376107518136e+00,5.474182890157885950e-03
-4.599999999999999645e-01,1.584073984994481821e+00,1.553822267706104210e+00,3.025171728837761087e-02,1.605448401708857942e+00,2.137441671437612101e-02,1.556977395927622299e+00,2.709658906685952218e-02,1.588349247101930706e+00,4.275262107448885018e-03
